id,name,score,publisher,developer,follow,order,topic,review,install,recommend
22660,暗影时代,9.7,Wulven Game Studios,,3529,,11,108,,
22662,Denma with NAVER WEBTOON,,UFO,,36,,,2,,
22663,侦探事务所 - 史上最牛最强逻辑侦探推理智力题达人题库,8.9,An Zhao,,1920,,1,19,,
22665,棋类游戏合集 6合1,,"Playfrog,Inc",,80,,,1,,
22667,Crime City,,"Funzio, Inc",,0,,,,,
22668,ザクザク芝刈りw - ひっぱりアクション,,Junpei Kamiesu,,,,,,,
22669,Puyoteto - Tetromino & Puyo & Bomb,,VTM Corporation,,2,,,,,
22671,GO SPOT for ポケモンGO,,Tetsuro Takemoto,,10,,,,,
22672,ソニック?ザ?ヘッジホッグ4 エピソードⅡ,,SEGA,,2,,,,,
22673,Ranch Rush 2,,FreshGames,,11,,,2,,
22675,Rage of the Seven Seas,,POLYFUN CORPORATION,,5,,,,,
22677,密室逃亡官方经典系列:100个房间7,,YunFang Xia,,107,,,,,
22678,忍者对僵尸 - 无尽的轻点与砍杀僵尸点击游戏,,AdoreStudio Ltd.,,102,,,3,,
22679,Spider: Rite of the Shrouded Moon,,Tiger Style Games,,22,,,,,
22680,Living Legends: Bound by Wishes - A Hidden Object Mystery (Full),,"Big Fish Games, Inc",,3,,,1,,
22682,Tribe of Procreation,,Dong hung Park,,1,,,,,
22683,Athletics: 冬季运动 (Full Version),,Olivier Monaret,,53,,1,3,,
22684,??? ??(???? ?????),,"Shanghai JingCai Computer Software Development Co., Ltd",,6,,,,,
22685,Hardwood Rivals,,Justin Mai,,5,,,,,
22688,Cricket WorldCup Fever Deluxe,,Indiagames Ltd.,,2,,,,,
22689,ABC-Monsters Fun Time,,Animasia Studio Sdn Bhd,,,,,,,
22696,Emoticon Tag !,,"RedinC Co.,Ltd.",,,,,,,
22697,足球九宫格 - 巴西世界杯,,Ying Woon So,,11,,,,,
22699,孩子们喜欢的农场动物 - 免费游戏,,witkowski micael,,8,,,1,,
22700,ADV レイジングループ【プレミアムセット】,,"Kotobuki Solution Co., Ltd.",,43,,,1,,
22701,幸运生活 Pro,,SungDuck Kim,,57,,,,,
22703,FD2,,yao renfeng,,2,,,,,
22704,F-Sim Space Shuttle,,Ledinsky Software GmbH,,243,,,4,,
22705,三只小猪 VR,6.2,1st Playable Productions LLC,,467,,,6,,
22706,3D Xtreme Car Drift Racing Pro - Stunt Compitition,,Noor Ali Butt,,4,,,1,,
22710,萌僵尸大战3  休闲射击类生存游戏,9,chen zehua,,664,,1,33,,
22711,Game of Elite Army War Strike Heroes 2k16 - Pro,,Tahir Mahmood,,41,,,1,,
22712,割绳子玩穿越,8.9,"Yodo1, LTD",,195,,1,11,,
22714,Pearl's Peril - Hidden Objects,,wooga gmbh,,4,,,,,
22715,Crafty Candy – Fun Puzzle Game,,Outplay Entertainment Ltd,,68,,,2,,
22718,Canabalt,,"Last Chance Media, LLC",,32,,,5,,
22719,Heroes of AtlanHK,,"FLERO GAMES Co.,Ltd.",,10,,,1,,
22720,ぱちんこ必殺仕事人IV 実機アプリ,,"CROSSGATE.Co.,Ltd.",,1,,,,,
22721,BAD END,,Yutaka Okajima,,20,,,1,,
22722,Battle Supremacy,9.7,ATYPICAL GAMES LLC,,513,,1,22,,
22723,歪みの国のアリス,,SunCorporation,,2,,,,,
22724,Catapult King,,Wicked Witch Software,,8,,,1,,
22725,VR Crazy Roller Coaster Simulator,,jolta technology limited,,17,,,,,
22727,ミリオンゴッド,,Universal Entertainment Corporation,,,,,,,
22728,Bomber Captain,,Magitech Corporation,,7,,,,,
22729,冷血射手（无广告版）,9.3,Playgendary GmbH,,3926,,4,94,,
22730,Street Hoop,,Jose luis Garcia sicilia,,11,,,,,
22741,Sligon,,"Yeastudio Co., Ltd.",,,,,,,
22742,三国杀OL(互通版),6.4,杭州游卡网络技术有限公司,,275187,,657,1742,306325,
22744,Jelly Defense,10,Infinite Dreams,,680,,,17,,
22745,?????,,2BECOME1 Inc.,,,,,1,,
22746,《龍將斬千》,,育駿科技Cubemagic,,32,,2,1,,
22747,逆转三国,9.6,"ONECLICK GAME Co.,Ltd",,207,,,15,,
22748,仙入凡尘,,eYou technology Pte. ltd.,,2,,,,,
22752,北方有佳人,8.5,北京六趣网络科技有限公司,,635,,,17,,
22753,Fashion Empire,,Frenzoo Limited,,170,,,4,,
22754,クランキーコンドル,,Universal Entertainment Corporation,,,,,,,
22755,搏击长空:暴风特工队,9.7,Atypical Games,,16030,,19,129,,
22756,Relative pitch trainer,,kiyoshi katsuda,,254,,,3,,
22757,砖经典传奇,,Tran Thi Giang,,2,,,1,,
22759,Jelly Bear 啫哩熊,8.4,Glen Poon,,9,,,12,,
22760,Forever Lost: Episode 1 HD,,Glitch Games Ltd,,27,,,1,,
22762,修女也疯狂,,"Yodo1, LTD",,40,,2,2,,
22763,A Brief History of the World,,Codito Development Inc.,,6,,,,,
22764,????(EverBattle),,Joy.Cn Corporation Ltd,,4,,,,,
22765,Sorceress of Fortune,,Dotomchi Games Inc.,,3,,,,,
22766,鸭头馆,8.9,北京六趣网络科技有限公司,,232,,1,7,,
22767,櫻花雷達,,Wei-Tyng Liu,,5,,,,,
22768,艾德爾冒險:王權爭霸HK,,Longcheng Network Limited Company,,53,,,1,,
22771,テトリス - 定番の脱出ゲーム,,SHENGHU ZHU,,,,,,,
22773,??? ???????,,Yuhui Wang,,7,,,4,,
22774,推理学院,6.7,重庆海游科技有限公司,,4134,,162,73,11118,
22775,Arrow Ambush,,Zoom Inc,,3,,,,,
22777,関ヶ原演義,,D2C Inc.,,3,,,,,
22778,GAROU: MARK OF THE WOLVES,,SNK PLAYMORE,,25,,,1,,
22779,Defense of Fortune: The Savior,,Dotomchi Games Inc.,,,,,,,
22780,比手画脚-随身版,,"CHIDOPI CO., LTD. TAIWAN",,15,,,2,,
22782,Stylish Sprint,9.6,playus soft,,85,,,5,,
22784,WRC The Official Game,7.5,Bigben Interactive,,2458,,1,20,,
22786,Game42 Premium - 9 fun party games in one,,Genix Lab Company Limited,,25,,,4,,
22787,Tap Tap Party,,Jorge Moreno Aguilera,,3,,,2,,
22788,潮爆三国（跨服联赛）,6.3,腾讯,,82,,2,7,,
22790,龙之力量,8.2,Digital Sky Entertainment Limited,,144,,,10,,
22791,Blocky Soccer,,Full Fat Productions Ltd,,14,,,1,,
22792,VR Roller Coaster for Google Cardboard,,andrew sasaki,,27,,1,,,
22793,Clash of Crowns,,"iLead software co, Ltd",,10,,,,,
22794,????? for Kakao,,"Bluehole PNIX, Inc.",,8,,,1,,
22796,?????? - for Kakao,,"FLERO GAMES Co.,Ltd.",,3,,,,,
22798,解散 世界に一つだけのSNAP,,Masaru Nishida,,6,,,,,
22799,当たりすぎて怖い！真実のタロット占い,,Stock,,3,,,,,
22800,洪荒之戰 - 即時動作塔防,,Impression HK,,22,,,1,,
22801,Mr.Q-磁力大冒險（台灣版）,,张 帆,,3,,,,,
22802,Mr.Q-磁力大冒險（港澳版）,,张 帆,,22,,,2,,
22803,3D水滑梯,8.3,Words Mobile,,6875,,1,24,,
22805,Clown Buster,,Mintah,,1,,,,,
22806,万圣节：糖果猎人,,Hippo Kids Games,,20,,,,,
22807,Game Pigeon Pool,,Funimaters,,1,,,,,
22808,艾瑪的瘋狂之旅-萬聖節化妝舞會US,,Libii Stars,,141,,,1,,
22810,Skin for slither.io invisible,,OKSana,,14,,,,,
22811,时尚朋克女孩,,FCat Games,,53,,,,,
22812,Escape Game Gargyoles,,ROBAMIMI,,4,,,,,
22813,三國時代,5.4,GandromedA,,123,,3,14,,
22814,Escape Games Day-550,,EscapeGamesFun,,1,,,,,
22815,Escape Games Day-549,,EscapeGamesFun,,,,,,,
22816,宝宝爱跑步,,BabyBus Kids Games,,2153,,,1,,
22817,Pity Boy Rescue,,Games2Jolly,,1,,,,,
22818,50 Levels - Halloween Escape Game,,Hidden Fun Games,,9,,,,,
22820,Escape Prawn Cottage,,ajazgames,,2,,,,,
22821,Exclusive Hotel Escape,,EightGames,,1,,,,,
22822,1タップ個体値チェック ポケモンGo,,System Create,,97,,,,,
22823,Halloween The Witch Garden,,Mirchi Escape Games,,1,,,,,
22825,模拟经营铁匠,,Studio 1514,,81,,,3,,
22827,Crash FeverJP,8.8,WonderPlanet Inc.,,4227,,26,70,,
22830,警方转运卡车,,TheGaminators!,,275,,,1,,
22832,Adventure Escape: Carnival,,Haiku Games,,23,,,1,,
22834,少年勇者團,,Youbi Game,,30,,,3,,
22835,我要超神！,,"FUNALL TECHNOLOGY DEVELOPMENT CO., LTD.",,18,,1,4,,
22836,Kh? Con B?t T?,,VegaGameStudio,,4,,,1,,
22837,Super Dancer VN,,SEAGA MOBILE,,138,,,2,,
22838,Luckly Sudoku,,Parpeni,,,,,,,
22839,希尔卡车驾驶疯狂,7.4,Desert Safari Studios,,1308,,,9,,
22840,伊洛納2——新遊來襲TW,2.4,QXsceneway,,9,,,9,,
22842,翻滚糖果碎碎,,Candy Studio Inc,,1,,,1,,
22843,水果飞溅爆破,,match_three,,6,,,,,
22845,狗去,,Banana4apps,,54,,,2,,
22846,伊苏编年史2,9.6,DotEmu,,2043,,4,33,,
22847,?????,,LINEKONG KOREA CORP,,,,,,,
22848,Highway Rider,,"Battery Acid Games, Inc.",,40,,,1,,
22849,The Wiki Game - A Wikipedia Game of Exploration!,,Alex Clemesha,,,,,1,,
22851,?? ?????: ?? ??,,Super Genius Games Pte. Ltd.,,3,,,,,
22852,Alchemic Maze,,HeroCraft Ltd,,17,,,,,
22853,喵星人大战 — 经典激萌塔防恶搞乱斗小游戏,9.1,"Yodo1, LTD",,2025,,7,64,,
22854,挑豆忍者2,,qinghai wu,,2,,1,1,,
22855,戳青蛙 3,,Playmous,,566,,,4,,
22858,Flight Simulator FlyWings Online 2016 HD,,Thetis Consulting,,21,,,,,
22859,Warship Saga - 海戰1942,,"SINCETIMES Co., Ltd.",,9,,,,,
22860,Blitz Racer,,Studio PearFiction Inc,,2,,,,,
22861,外太空着色书 - 宇航员外星飞船绘制及油漆页面学习儿童游戏,,Rorenzo Doni,,13,,,1,,
22862,街头篮球 - China version,7.8,Murun Game Studio,,4534,,,10,,
22863,Blueprint 3D,10,FDG Mobile Games GbR,,286,,,12,,
22864,Hidden Objects California Beaches & Ocean Puzzle,,Beansprites LLC,,,,,,,
22865,Dinosaur Puzzle Dino Game Kids,,Gil Weiss,,,,,,,
22866,六脉神剑-和神仙姐姐一起修炼成仙吧,,Jing Pan,,6,,,,,
22867,幻灵奇缘—经典仙侠回合制手游,,Wang Xu,,5,,,,,
22869,儿童汽车游戏：车高清拼图 - 对于教育,,Scott Adelman Apps Inc,,8,,,,,
22870,2048- 1024無料ゲーム攻略,,Huiping Lu,,11,,,,,
22871,跳跳君!,,dividual inc.,,248,,,3,,
22873,Corpse party BloodCovered: ...Repeated Fear,9.8,5pb.Inc.,,211,,,18,,
22874,桜舞う乙女のロンド,,"HUBLOTS CO., Ltd",,67,,,3,,
22876,ねこずらし - Cat Slider,,"Visualworks Co., Ltd.",,64,,,,,
22877,出動！美女ポリス,,Mynet Inc.,,201,,,1,,
22878,GALLIPOLI,,MagiClick Digital Solutions FZ-LLC,,1,,,,,
22879,Snowboard Party World Tour Pro,,Ratrod Studio,,28,,,1,,
22880,BUBBLE BOBBLE DOUBLE,,TAITO Corporation,,12,,,1,,
22881,?????? - 三國志,,Highbrow,,39,,,3,,
22883,Doodle Tanks?,,JoyBits Co Ltd.,,24,,,3,,
22884,Doodle Mafia,,JoyBits Co Ltd.,,30,,,,,
22885,全民快打-Rock K.O.,8.3,WEIJIAN YE,,15,,,5,,
22887,bdpq,9.5,睡神飞工作室,,56159,,52,342,,
22888,两个建筑工,9.2,睡神飞工作室,,59404,,37,511,,
22896,仙侠剑客—大型3D精品ARPG动作神作,,Jin Zhao,,22,,,1,,
22899,掛機吧兄弟,,Flamingo Entertainment Limited,,4,,,4,,
22900,骷髅传奇 中文版－ 简单好玩的像素风怀旧复古横版过关单机RPG(独立游戏) - Legend of Skeleton,7.2,zhu jacky,,2418,,,23,,
22901,小公主自己上厕所:小公主的舞会沙龙 免费换装化妆游戏,,JC Lee,,77,,,2,,
22903,クレーンゲーム,,"DeNA Co., Ltd.",,4,,,,,
22905,汽车益智游戏为幼儿HD - 儿童教育拼图学龄前的孩子游戏的男孩和女孩3岁+,,Andrey Minkov,,11,,,,,
22909,Dark Arcana: 嘉年华 (Full),,G5 Entertainment AB,,96,,,4,,
22910,Kung Fu Jumpu,,Magic Cube,,9,,,,,
22911,飢餓鯊：進化TW,8.6,Future Games of London,,134,,,7,,
22912,暴風劍豪,,Xinjie LIANG,,10,,,,,
22913,火线指令：诺曼底,7.9,Glu,,44501,,38,647,,
22914,獵墓訣,,SuperNova Overseas Limited Taiwan Branch,,4,,,,,
22915,Devil's Attorney,,Anders Hejdenberg,,5,,,2,,
22916,FirstWords: At Home,,Learning Touch LLC,,,,,,,
22917,以凤为尊,,北京六趣网络科技有限公司,,279,,1,4,,
22918,忘仙Online,9.9,Koramgame.com,,40,,1,16,,
22919,原創機器人戰略版,6.2,小雨声游戏工作室,,424,,2,15,,
22921,ウィルスハンター,,"SENKEN, INC.",,1,,,,,
22923,BB 开伦台球 台球 (BB Carom),,Myung-hyun Lee,,8,,,,,
22924,Logic Square - Picross,9.9,Devsquare,,1287,,,20,,
22925,?? ??,,ZeptoLab,,2,,,,,
22926,Galaxy ON,,Andreas Kuster,,2,,,,,
22927,VR Canyon RollerCoaster Ride,,Roman Pusnik,,18,,,1,,
22928,Throne Rush,,Nexters Global LTD,,13,,,1,,
22929,100萬人的圍棋,,Unbalance Corporation,,14,,,,,
22932,Sonic & All-Stars Racing Transformed,,SEGA,,72,,,6,,
22936,魔塔触控,9.7,Fei Li,,2057,,4,59,,
22938,晴天小狗2 繁體版,,Qiang Hu,,38,,,3,,
22939,Dungeon Hunter 4,,Gameloft,,284,,,4,,
22940,Sky Pillar,,"Nanovation, LLC",,66,,,1,,
22941,Smile Endless Best Jump: Fiends Inc Runner Forever,,Jakoncic Teja,,1,,,,,
22943,iHeroes II,,InformUnit,,9,,,,,
22945,The Heist,,tap tap tap LLC,,4,,,,,
22946,Miner Disturbance,,Jagex,,7,,,,,
22947,Strategery,,Affogato LLC,,2,,,,,
22949,闇影詩章(Shadowverse)HK,9.9,"Cygames, Inc.",,1921,,3,40,,
22953,灯泡男孩,9.7,Bulbware,,7674,,17,116,,
22954,猎鹿人复刻版,8.4,Glu,,8546,,1,28,,
22956,击倒他们,,"Behdad Sami Interactive, LLC",,13,,,1,,
22957,Drive for Speed: Simulator,7.9,Play365,,4052,,1,17,,
22958,Online Head Ball,,Masomo Gaming,,4444,,,1,,
22959,泡泡狂欢：圣诞节,,Storm8 Studios,,9,,,,,
22960,Hello Kitty 宝石城!,,Sanrio Digital,,194,,,2,,
22962,《幻想森林：魔法大师》！,,Storm8 Studios,,39,,,2,,
22963,Ben Skater Boy 10,,"Briksad, LLC",,1,,,,,
22964,小丑滑行,,Mintah,,8,,,1,,
22966,GO Titans,,SEASUN INC.,,41,,,2,,
22967,Super Jungle World,,Jungle World Studio,,4,,,,,
22968,Solitaire,,3DGames,,,,,,,
22969,Zombie Zombies,,Dedalord,,33,,,,,
22970,BFF闺蜜环游世界之好莱坞2,,TutoTOONS,,66,,,,,
22971,Bubble Shooter Santa,,Bubble Shooter,,2,,,,,
22972,隐藏的物体遊樂場 - 遊樂場遊戲,,Midva,,57,,,,,
22973,Hidden Scenes Halloween House,,Difference Games LLC,,,,,,,
22975,迷你赛车,9.8,NextGen Reality Pty. Ltd.,,2432,,,26,,
22976,Save The Factory,,Games2Jolly,,2,,,1,,
22977,muscle exercise,,arcknot,,2,,,,,
22978,慶長恋闇忍法帖～忍の乱れ～◆女性向け無料恋愛ゲーム,,Media Groove,,28,,,,,
22980,Escape Games Zone-142,,escapezone15,,,,,,,
22981,Maestro: Dark Talent,,Big Fish Games,,21,,,,,
22982,Escape Plainsong,,ajazgames,,,,,,,
22985,正宗五子棋2016,,Mr.Games,,26,,,,,
22986,美女三国志,,Dreamplay Games,,179,,,4,,
22987,Elsword Slash  CBT测试版,6,NEXON Company,,238,,,9,,
22990,10亿 打工妹,,FUNTA,,61,,,1,,
22991,FHx-Server COC LATEST,,SuperCoc,,128,,,2,,
22993,成長系列 1 成長谷,8.3,Moshen Game,,63,,,5,,
22995,红龙：立方体探索&块建立在中国 (Dragon Craft),,"Tiny Dragon Adventure Games: Craft, Sport & RPG",,70,,,2,,
22996,Flying SuperSport Car Sim 3D,,GT Race Games,,64,,,,,
22998,Veggie Link,,Freeze Apps Studio (Mir Javid),,,,,,,
23000,公主派对女孩历险记,,PrincessJulietOfficial,,18,,,,,
23001,交换糖果,,Gamoper,,7,,,,,
23005,迪斯科舞会,,Golden Bite Games,,4,,,,,
23007,御龍天下,,"HongKong Morlia Digital Entertainment Co.,Ltd",,6,,,,,
23009,糖果开心消精简版,,gameone,,13,,,,,
23011,最后一扇门：第二季,9.1,Phoenix Online Studios LLC,,1232,,2,22,,
23012,诺诺岛,7.8,Illusion Labs,,2371,,,44,,
23013,Arena Quest RPG (Lite),,Gfactor Games,,7,,,,,
23015,Jump Over the Rings!,,chinykian,,13,,,1,,
23016,Stars and Ghosts,,"Landkae, Lda",,1,,,,,
23017,Drift Mania Championship Lite,,Ratrod Studio,,64,,,1,,
23018,Juicy Jelly Barrel Blast,8.5,Microtale,,924,,,20,,
23021,部落世界,4,深圳市爱谱互娱科技有限公司,,188,325,1,23,,
23022,圣光之战,7,福州指尖互动网络科技有限公司,福州指尖互娱网络科技有限公司,703,281,47,24,994,
23023,卡通战争2,9.2,GAMEVIL,,2499,,,24,,
23025,昭和茶屋物語~どこか懐かしくて心温まる新感覚ゲーム~,,Chronus C Inc.,,612,,,6,,
23030,Lacrosse Arena,,"Carlo Sunseri, LLC",,3,,,,,
23031,乐高大电影 – 视频游戏,9.2,Warner Bros. Entertainment,,594,,2,19,,
23032,克苏鲁神话,9.6,さむずあっぷプロジェクト,,2124,,4,51,,
23033,ルナたん ～巨人ルナと地底探検～,,NTT Plala Inc.,,10,,,1,,
23034,世界侵略,,Ginsoft Taiwan,,11,,,,,
23035,文明之战,9.2,Midjiwan AB,,107801,,217,1022,,yes
23037,今日、彼女が死んだ,,"Nagisa,inc.",,28,,,1,,
23039,果冻大战僵尸,,Candy Studio Inc,,27,,,1,,
23042,Shoot Bubble,,Free Bubble Shooter Games,,2,,,,,
23044,Carrier Landings Pro,,RORTOS SRL,,55,,,2,,
23045,星座连接,4.6,Sticky Hands Inc.,,206,,,6,,
23047,梦幻传说—回合制婚恋游戏匠心制作,3.7,Renle Yuan,,300,,1,5,,
23048,Escape Game Gargoyles,,Kiyoko Kosugi,,1,,,,,
23050,都市枭雄,8.7,Gameloft,,1468,,,32,,
23051,LYNE,9.8,Thomas Bowker,,746,,1,25,,
23052,Hey Duggee Colouring,,BBC Worldwide LTD,,1,,,,,
23054,SmartGo Kifu 围棋软件,,"Smart Go, Inc.",,54,,1,1,,
23056,守护者法典JP,8.6,"SQUARE ENIX Co.,Ltd.",,3778,,3,75,,
23059,全民奇迹,5.3,上海恺英网络科技有限公司,,3126,,6,32,,
23060,神秘来信,8.8,G5 Entertainment,,1446,,,19,,
23062,Elder Sign: Omens for iPhone,,"Fantasy Flight Publishing, Inc",,54,,,,,
23063,Future Basketball International 3D,,Den McDowell,,171,,,5,,
23064,Football Star 2016 World Legend,,Den McDowell,,24,,,,,
23065,航海冲突,7.6,JOYCITY Corp.,,1547,,9,36,,
23081,Shards of Magic 魔力时代英文版,,R2Games,,41,,,3,,
23082,我家的魔王大人 - 不愧勇者2 - TAP RPG -,9.2,株式会社　WHRP,,95808,,117,2194,,yes
23083,ねこみっけ - おもしろい人気無料ゲーム,,misaki sakamoto,,11,,,,,
23084,マジカルハロウィン２,,"KPE CO.,LTD.",,,,,,,
23085,EVANGELION　ART,,Futurescope Inc.,,9,,,,,
23086,緑ドンＶＩＶＡ！情熱南米編 ユニライザーアプリ,,Universal Entertainment Corporation,,,,,,,
23087,i四川省,,Hiroki Ukegawa,,7,,,,,
23089,Zombie Farmer,,PLAYWAY SPOLKA AKCYJNA,,6,,,,,
23090,Lux DLX 3,,Sillysoft Games,,3,,,,,
23091,EvoCreo - A Monster Capture RPG,,Ilmfinity LLC,,19,,,,,
23093,JUMP360,,"Crater Co., Ltd.",,28,,,1,,
23094,Ben 10 Slammers – Galactic Alien Collectible Card Battle Game,,"Turner Broadcasting System, Inc.",,87,,,4,,
23096,Frozen Synapse,,Mode 7 Limited,,9,,,,,
23097,神域之光OL,,eYou technology Pte. ltd.,,2,,,,,
23099,LOVE PLANET ?EXO with you?,10,"ALLFUZ, K.K.",,1715,,,96,,
23100,無雙兵團 - 兵團大作戰TW,6.5,上海香蕉狗网络科技有限公司,,61,,1,7,,
23101,主神空间6,8.3,liu chongjing,,434,,,6,,
23102,Mystic Kingdom,,Netmarble Games Corp.,,3,,,,,
23103,赛伯利亚之谜 2,,Anuman,,84,,1,2,,
23104,Rainbow Slides: Care Bears!,,Tipitap Inc.,,1,,,,,
23105,街篮,6.3,巨人网络,,39188,,232,1254,193331,
23107,ポケットナイツ[セルフィでRPG],,"Bank of Innovation, Inc",,54,,,3,,
23108,Alchemy Mysteries: 布拉格传奇 (Full),,G5 Entertainment AB,,26,,,1,,
23110,飞行棋大战Online,,SOHOMOB LIMITED,,201,,,5,,
23111,罗盘火车,9.8,Crash Lab Limited,,517,,,7,,
23112,I LOVE PASTA,,PATI Games Corp.,,161,,,,,
23113,幻創のイデア～Oratorio Phantasm Historia～,,"HUBLOTS CO., Ltd",,30,,,1,,
23114,アガレスト戦記,,"Hyperdevbox Japan, Yugen Kaisha",,16,,,1,,
23115,Legendary Tavern,,Lath Games Inc.,,6,,,,,
23119,自分のキャラを作るアドベンチャーRPG『ソウルアンリーシュ』,,tech vein Inc.,,3,,,,,
23120,卡牌潜行者,8.9,Arnold Rauers,,14590,,23,128,,
23121,FingerLaser II,,Wei-Ting Weng,,4,,,,,
23123,宝石塔防-摆迷宫 合宝石 智力挑战 策略搭配 决战塔防之巅 宝石TD GemTD,10,lei liu,,247,,2,11,,
23124,Solitaire Daily,,MELIKA RAMALAKSHMI,,,,,,,
23125,Gem TD,,"Niugnep Software, LLC",,4,,,,,
23126,无限美国飞车  Pro,2.1,It Works OOO,,357,,,9,,
23129,滑雪大冒险2,9.4,Sleepy Z Studios,,24028,,6,122,,
23133,脱出ゲーム 君のナワ,,KOJI SIMADA,,2,,,,,
23134,Escape game Cat's treats Detective8,,Tatsuji Kuroyanagi,,3,,,,,
23135,探検ドリランド by GREE(グリー),,"GREE, Inc",,,,,,,
23136,神獄のヴァルハラゲート,,"GRANI, INC.",,19,,,,,
23137,Dungeon Raid,9.4,Fireflame Games,,339,,1,14,,
23138,Karateka Classic,,DotEmu,,4,,,,,
23139,Reckless Racing HD,,Pixelbite,,46,,,,,
23142,Decked Builder,,Tan Thor Jen,,,,,,,
23143,秘宝探偵,,"COLOPL, Inc.",,19,,,,,
23144,天天炫舞——最浪漫的戀愛舞蹈約會手遊,,dongyang han,,114,,,3,,
23145,鬥陣少女,,Longcheng Network Limited Company,,98,,,1,,
23146,Hidden Pictures Puzzles,,"Highlights for Children, Inc.",,9,,,,,
23148,國際象棋,,3DGames,,452,,,2,,
23149,Alien Shooter,,Dantella Associates Limited,,1,,,,,
23150,Big Bubble,,AlexTiga,,1,,,,,
23151,X-Force,,Yahgame,,5,,,,,
23152,Flying Rescue Helicopter Car,,FoxyGames,,173,,,2,,
23153,Stickman Army : The Resistance,,PLAYTOUCH,,317,,,,,
23154,Tigers of the Forest,,Wild Foot Games,,77,,,,,
23157,みんな花嫁になぁれ！ 放置系育成RPG,,"Inline planning Co., Ltd.",,160,,,4,,
23158,We are heroes!,,arcknot,,1,,,,,
23159,Cat's treats Detective 8,,cat muzzle,,5,,,,,
23160,我家的魔王大人 - 不愧勇者2 - TAP RPG -,9.2,株式会社　WHRP,,95808,,117,2194,,yes
23161,クロスレギオン:ラストフューチャーJP,,"NEXON Co., Ltd.",,60,,,1,,
23162,Escape Games Day-551,,EscapeGamesFun,,1,,,,,
23163,Escape Games Day-552,,EscapeGamesFun,,,,,,,
23164,脱出ゲーム Wonder Room 3 -ワンダールーム３-,,NAZOKOI,,3,,,,,
23165,Cottage Wooden House Escape,,Games2Jolly,,1,,,,,
23166,100 Doors Incredible,,ZENFOX GAMES,,40,,,3,,
23167,Slime Farmer 2,4.6,TrendGamesDevelopers,,173,,,5,,
23168,Lode Runner Classic,,Solomonparker55,,24,,,,,
23169,The Room Two (Asia),9.8,Chorus Worldwide Games Limited,,10874,,12,113,,
23170,龙之战争,,KNETP,,18,,,2,,
23171,地下传说,6.5,highbrow,,181,,1,21,,
23172,The Pirate king Adventure,,animeapps,,10,,,3,,
23173,Zombie Shooting Race Adventure,,Tiny Lab Productions,,23,,,,,
23175,无限决斗: 战士之路,,Magic Cube,,80,,,2,,
23176,C180 Driving Simulator,,AG games,,43,,,,,
23178,弑魂觉醒,,Beatrice.LMD,,8,,,1,,
23179,永恆戰紀：巔峰之戰,,9SplayDeveloper,,33,,,3,,
23180,台灣猜歌名2016II,,shieh chia ming,,4,,,,,
23182,Let's poke the egg 2,,Smyrna,,,,,,,
23184,Doblans.io,,Zlap Games,,27,,,1,,
23185,史上最惡搞的遊戲2,6.9,千尋網絡,,1305,,,12,,
23186,Level With Me,,"Unept, LLC",,21,,,1,,
23187,雷曼：丛林探险,9.9,Ubisoft Entertainment,,801,,1,22,,
23188,微微一笑很倾城,4.7,TEN10Games,,1885,,1,21,,
23189,刀片忍者,9.6,SnoutUp,,1836,,1,24,,
23190,六轮手枪,,Sleepyhead Studios,,47,,,5,,
23191,六轮手枪,,Sleepyhead Studios,,47,,,5,,
23192,Cave Blast - Jetpack Shooter,9.3,SnoutUp,,2709,,1,20,,
23193,Bunny Goes Boom! - Cute Game,10,SnoutUp,,498,,1,10,,
23194,精神病院5 Demo,8.5,AGaming+,,13951,,23,198,,
23195,精神病院5,9,AGaming+,,6357,,3,47,,
23196,黑色星期二：复兴,7.4,Chengliang Xia,,4765,,9,48,,
23197,"ComPet - Epic Beast Battles, PvP Pets Fight Arena",,MindArk PE AB,,18,,,,,
23198,Demi Lovato - Zombarazzie,,Philymack Games,,8,,,,,
23200,幻想神域 - 启源女神（台服）TW,6.2,"X-LEGEND ENTERTAINMENT CO., LTD.",,9360,,84,221,,
23201,妖玉奇谭2,8.2,咸鱼游戏,,8658,,20,144,,
23202,恶鬼大战,,Raion Studio,,8,,,,,
23203,最后一颗树,7.8,MoonBear LTD,,1759,,,14,,
23204,头脑探险 VR 2,,Nival,,163,,,4,,
23206,青蛙王子归家记,,Royal 3D Studio,,104,,,3,,
23207,冒险方块,,Walter Bros. Entertainment,,38,,,1,,
23208,跳绳,,SkyBelow Studios,,25,,,1,,
23209,逃离大厦,9.1,GiPNETiXX,,834,,,14,,
23210,门户主人,,Vitalii Maslikov,,14,,,2,,
23212,疯狂竞技场,,Maruf Nebil ??ün?,,69,,,1,,
23214,霓虹忍者,,Kyy Games,,74,,2,2,,
23215,蘑菇岛的枪战,8.7,Quantized Bit,,7765,,13,62,,
23216,滑块走位,,TrollFace Studio,,73,,,2,,
23217,点亮网格,,PlutoRED,,152,,,3,,
23218,比拉尔：新的英雄免费版,,Appsinnovate,,30,,,1,,
23219,内在玄机,,phime studio LLC,,7,,,,,
23220,比拉尔：新的英雄,,Appsinnovate,,22,,,,,
23223,CODE OF JOKER Pocket,8.2,SEGA,,1346,,5,38,,
23224,Trucksform,,EVL PPY,,85,,,,,
